state,city,branch,address,latitude,longitude
GUJARAT,Surat,SURAT,"OFFICE NO.- 307 & 308, THIRD FLOOR, TIMES GALARIYA, BARDOLI ROAD, CHAROLI GAM, SURAT, DISTT.-SURAT",21.190075,72.886706
GUJARAT,Surendranagar,SURENDRANAGAR,"354, THIRD FLOOR, MEGA MALL, NEAR MILAN CINEMA, SURENDRA NAGAR",22.722673,71.642979
GUJARAT,Tharad,THARAD,"SHOP NO. 4, FIRST FLOOR, K.R. PLAZA, THARADS CHAR RASTA, TEH. THARAD, DISTT.-BANASKANTHA",24.384878,71.632479
GUJARAT,Una,UNA,"Office No.-104, First Floor, Satyam Complex, Opp. Bus Stand, Near Bank Of India, At- Una, Distt.-Gir Somanth",20.827308,71.043478
GUJARAT,Upleta,UPLETA,"SHOP NO.-105, STAR PLATINUM, FIRST FLOOR, DHORAJI-PORBANDAR HIGHWAY, OPP. NEW LIFE HOSPITAL, UPLETA, DISTT.-RAJKOT",21.743052,70.278279
GUJARAT,Vapi,VAPI,"SHOP NO.-E-114, FIRST FLOOR, M CUBE, NEAR BOMBAY RESTAURENT, OPP. TALUKA SEVA SADAN, NH-8, BALITHA, TALUKA-VAPI",20.396382,72.912422
GUJARAT,Veraval,VERAVAL,"SHOP NO. 4&3, FIRST FLOOR, AANAD DHAM COMPLEX, S.T. ROAD, VERAVAL",20.912434,70.362421
GUJARAT,Vijapur,VIJAPUR,"FF-14, FIRST FLOOR, AKSHAR ARCADE COMPLEX, T B ROAD, VIJAPUR, DISTT.-MEHSANA",23.55582,72.741044
GUJARAT,Viramgam,VIRAMGAM,"OFFICE NO.-11, FIRST FLOOR, MARUTI AVENUE, BECHARJI ROAD, POPAT CHOKDI, TEH.-VIRAMGAM, DISTT.- AHMEDABAD",23.144959,72.050796
GUJARAT,Vis Nagar,VIS NAGAR,"RAJMILAN COMPLEX, OFFICE NO.-203 & 204, SECOND FLOOR, KRUPA CORNER, DHAROI COLONY ROAD, VISNAGAR, DISTT.-MEHSANA",23.694309,72.535448
GUJARAT,Vyara,VYARA,"OFFICE NO.-B-114, AMBAJI COMPLEX, FIRST FLOOR, UNAI CHARRASTA, TEHS.-VYARA, DISTT.-TAPI",21.107463,73.392511
HARYANA,Adampur,ADAMPUR,"Khewat no. 98, Ground Floor, Near Bus stand, Thana road, Mandi Adampur, Adampur, Dist. Hisar",29.286954,75.477264
HARYANA,Ambala,AMBALA,"S-8, PLOT NO.-30, SECOND FLOOR, WARD NO.-7, BLOCK NO.-7, JAIN NAGAR, AMBALA, DISTT.-AMBALA",30.370169,76.785557
HARYANA,Ateli Mandi,Ateli Mandi,"First Floor, Above Icici Bank, New Anaj Mandi, Near New Bus Stand Ateli Mandi, Tehsil : Narnaul, Dist.: Mahendragarh",28.103646,76.250724
HARYANA,Badhra,Badhra,"FIRST FLOOR, JANGRA COMPLEX VPO SATNALI ROAD, NEAR BUS STAND TEHSIL BADARA, DIST-CHARKHI DADRI",28.5109177,75.9419
HARYANA,Bahadurgarh,BAHADURGARH,"J. R. PLAZA, PLOT NO.-11/12, SHOP NO.-4, SECOND FLOOR, DAYANAND NAGAR, OPPOSITE BUS STAND, NAJAFGARH ROAD, BAHADURGARH, DISTT.-JHAJJHAR",28.689782,76.935737
