State,City,Branch,Address,Latitude,Longitude
ANDHRA PRADESH,Kurnool,"Saraswati Nagar, Kurnool","87/1376-8, SARASWATHI NAGAR, KALLURU, Kurnool, Andhra Pradesh 518002",15.797562,78.052657
ANDHRA PRADESH,Kavali,Kavali,"Ground Floor, 11-1-36D, 11th Ward, Trunk Road, Opp : MRO Office Main Gate, Kavali, Andhra Pradesh   524201",14.9096274,79.9913005
ANDHRA PRADESH,Vizianagaram,Vizianagaram,"MIG-165,GROUND FLOOR, BABA METTA, VIZIYANAGARAM - 535002  ANDHRA PRADESH",18.1115952,83.4217766
ANDHRA PRADESH,Palacole,Palacole,"GROUND FLOOR, NO.53-7-42,HARISH PLAZA, NEAR RAILWAY GATE, PALACOLE – 534260 ANDHRA PRADESH",16.518485,81.716908
Arunachal Pradesh,Papum Pare,Itanagar,"Ground Floor, # NH-52-A, E Sector, Near AP Civil Secretariat, PO/PS- Itanagar- 791111, Dist, Papum Pare, Arunachal Pradesh",27.092989,93.618336
ARUNACHAL PRADESH,Papum Pare,Naharlagun,"Ground Floor C- Sector, Near Havells & LLoyd Showroom, Naharlagun, Dist: Papumpare, Arunachal Pradesh, Pin-791110",27.101863,93.688371
Assam,Kamrup Metropolitan,Guwahati,"G. S. Road, Bhangagarh, Above Bata Showroom - 781 005, Assam",26.167143,91.765849
Assam,Jorhat,Jorhat,"1st Floor, Madhu Market, J. B. Road, Jorhat, Assam, Pin - 785 001,Assam",26.765146,94.166776
Assam,Sonitpur,Tezpur,"Dugar Mansion, Ground Floor, Main Road, Tezpur - 784001 (Assam),Assam",26.62667,92.79688
Assam,Dibrugarh,Dibrugarh,"Ground Floor, B. L. Enclave, Goenka Market, R. K. B. Path, Dibrugarh, Assam; PIN: 786001",27.481068,94.906764
Assam,Cacher,Silchar,"1st Floor, Cachar Market, Rangirkhari, N. S. Avenue, Silchar -788005, Assam,Assam",24.81243,92.79782
Assam,Tinsukia,Tinsukia,"Ankit Tower, 1st Floor, Chirwapatty Road, Tinsukia - 786125, Assam,Assam",27.4904,95.36384
Assam,Barpeta,Barpeta Road,"1st Floor, Station Road, Barpeta Road, Dist- Barpeta, Assam. 781315, Assam",26.50171,90.96614
Assam,Bongaigaon,Jogighopa,"Ground Floor, Azadi Complex, Kabaitary, PO: A.P. Mills, Dist : Bongaigaon, Assam, Pin-783388",26.244907,90.582726
Assam,Sibsagar,Sibsagar,Ground Floor & First Floor Krishana Bhawan Temple Road Ward no XII Sivasagar-785640 Assam,26.98715,94.63274
Assam,Kamrup Metropolitan,"Zoo Road, Guwahati","Upper Ground floor + 1st Floor,otel Parnil PalaceZoo Road,Tiniali,Guwahati,Assam, Assam",26.174602,91.777085
Assam,Kamrup Metropolitan,Guwahati Beltola,"Ground Floor,# 60,Basistha Road, Beltola,Guwahati,Assam, Assam",26.124785,91.798545
Assam,Dibrugarh,Duliajan,"Ground Floor,Tamuli Mansion,Station Road,Dhuliajan,Dist: Dibrugarh,Assam., Assam",27.36229,95.31185
Assam,Hailakandi,Hailakandi,"Ground & 1st Floor,Holding .75/59 P.O. Ratanpur Road,N S Road,Ward .12,Hailakandi,Assam, Assam",24.68403,92.57156
Assam,Kamrup Metropolitan,Guwahati Fancy Bazar,"Ground & First Floor,Oswal Complex,156 M.G.Road,Near JBS Restaurant,Guwahati,Assam, Assam",26.181299,91.736781
Assam,Lakhimpur,North Lakhimpur,"Ground Floor,Dag 785,Ward 9 of rth Lakhimpur Municipality,Mouza: Lakhimpur,Dist:rth Lakhimpur,Assam, Assam",27.24295,94.10632
Assam,Kamrup Metropolitan,Guwahati Ganeshghuri,"Ground Floor,Protech Center,Ganeshguri Chariali,PO- Dispur,Guwahati,Assam, Assam",26.149767,91.785568
Assam,Golaghat,Numaligarh Refinery Township,"Ekponkagrat,(Telegram) PO: Kanaighat,Numalighar,Dist-Golaghat,Assam, Assam",26.57965,93.78656
Assam,Kamrup Metropolitan,Guwahati Paltan Bazar,"Ground  Floor, Anand Bhawan, Dag No 359, Paltan Bazar, G.S. Road,  Guwahati 781008, Assam, Assam",26.17859,91.75265
Assam,Kamrup Metropolitan,Guwahati Shilpukuri,"Ground Floor, Dag No. 386(Old)/300(New)  Next to Assam Tribune, MRD Road,  PO: Chandmari, Shilphukuri, Dist Kamrup,Guwahati-781003, Assam , Assam",26.18438,91.76923
Assam,Kamrup Metropolitan,"Maligaon, Guwahati","Vishal Housing Complex, Near Overbridge, Maligaon, Guwahati,  781012 Assam, Assam",26.15826,91.69158
Assam,Kamrup Metropolitan,Guwahati Ambari,"Ground & First Floor, Agni Shanti Business Park, GNB Road, Ambari, Ward No 33, Dist. Kamrup, Guwahati, Assam, Assam",26.185253,91.755506
Assam,Kamrup Metropolitan,Guwahati Athgaon,"1st Floor, Nizami Arcade, Sati Jaymati Road, Near Mosque, Athgaon, Guwahati- 781001, Assam",26.173985,91.739883
Assam,KOKRAJHAR,Kokrajhar,"Ground and First Floor, Building of Maina Devi Sarawgi,  JD Road, BTAD, Kokrajhar Assam – 783370",26.404472,90.268331
Assam,KARIMGANJ,Karimganj,"Ground Floor, Near Petrol Pump, Silchar Road, beside A.S.T.C Bus Stand, Ward no.25, Karimganj  PIN: 788710,Assam",24.864517,92.369882
Assam,Dhubri,Dhubri,"Ground Floor, Ashok Vatika, N. S. Road, Ward No. 4, Dhubri, Assam, PIN: 783301",26.018524,89.988104
Assam,Nagaon,"NAGOAN, ASSAM","Ground Floor, Sarkar Bhawan, A T Road, 37 National Highway, Haibargaon, Nagaon, Assam - 782002",26.351586,92.678483
Assam,Kamrup Metropolitan,Kalapahar Guwahati,"Ground Floor, Shrishti Medicos, Pan Dokan Bus Stoppage, Lokhra Road, Bhaskar Nagar, Kalapahar, Guwahati, Pincode-781 018, Assam.",26.150171,91.741179
ASSAM,Karbi Anglong,"Diphu, Assam","Ground Floor, C/o Home Needs, Stadium Road, Diphu Market, Diphu, District Karbi Anglong, Assam 782460",25.846472,93.436838
ASSAM,Guwahati,"Hatigaon, Guwahati, Assam","GROUND FLOOR, HATIGAON MAIN ROAD, PO & PS : HATIGAON, KAMRUP(M), ASSAM, PIN-781038",26.134425,91.785837
ASSAM,Haflong,Haflong,"GROUND FLOOR, JING SE HANGKHON, NR AUTONOMUS COUNCIL, HAFLONG, DIST: DIMA HASAO, ASSAM, PIN – 788819",25.163417,93.017917
Bihar,Patna,Patna,"SR02, Rajendra Ram Plaza, Exhibition Road - 800001, Bihar",25.6142,85.14308
Bihar,Bhojpur,Kaem Nagar,"Ground Floor, Arrah - Patna Highway Road Near City Plaza Market or Urdu School, Vill + Post - Kaemnagar PS - Koilwar, Dist : Bhojpur Bihar - 802314",25.58717,84.72557
Bihar,Patna,"Rukanpura, Patna","Ground Floor, Rajhans Niketan, Bailey Road, Rukanpara (Near Canal), Patna - 800 014, Bihar",25.60918,85.06718
Bihar,Patna,"Boring Road, Patna 2","Ground Floor, Vishwas Amawan House, Jamuna Apartments Complex ( front Block) Boring Road, Patna, Bihar 800 013, Bihar",25.615938,85.114622
Bihar,Vaishali,Bhagwanpur,Portion Of Ground Floor & First Floor Property At Raja Market Purbi Bazar Bhagwanpur - 844 114 Vaishali Dist Bihar,25.85634,85.29591
Bihar,Siwan,Andar,"First Floor, Asaon Road, Near Police Station, Andar, Siwan Dist, Bihar 841 231, Bihar",26.10264,84.29103
Bihar,Patna,"Rajendra Nagar, Arya Kumar Road, Patna","Ground Floor, Plot No 158, Block-A, Arya Kumar Road, Rajendra Nagar, Patna, Bihar 800 016, Bihar",25.60826,85.15937
