State,City,Branch,Address,Latitude,Longitude,Pincode,api_pincode
Himachal Pradesh,Mandi,MANDI,"1st Floor, 118/9, Sahib Complex, Mandi-175001, Himachal Pradesh",31.707849,76.932575,175001,
Himachal Pradesh,Shimla,SHIMLA,"Rain Basara Building, 1st Floor, Adj. Reliance, Main Road, Opp HDFC Life, Khalini, Shimla-171002",31.089808,77.171095,171002,
Himachal Pradesh,Solan,SOLAN,"Mehta Complex, 1st Floor, Adjoining Tehsil Gate, Rajgarh Road, Solan -173212",30.9042704,77.105049,173212,
Himachal Pradesh,Una,UNA,"1st Floor, Basant Tower, Ward No. 3, Una-Hamirpur Road – UNA-174303 (HP)",31.5193479,76.2631241,174303,
Karnataka,ANEKAL,ANEKAL,"Aavas Financiers - Home Loan Anekal, 1st Floor, Plot No. 8, 147, Shamrao Layout, Shivaji Circle, Anekal, Karnataka 562106",12.716772,77.700323,562106,
Karnataka,ATHANI,ATHANI,"RS No. 1225/B No.10, 1st floor, Halliyannu gokak road, Near tipu sultan circle, above Goudara medical store, Athani, Karnataka 591304",16.7162237,75.0582238,591304,
Karnataka,Bagalkote,BAGALKOTE,"1st Floor, Balulamath Complex-17, Cross Road, Near Bank Of India, Vidayagiri, Bagalkote, Karnataka-587102",16.1745008,75.6585835,587102,
Karnataka,BAILHONGAL,BAILHONGAL,"1st Floor, Property No. 435, Haddi Muragonda Road, Near Sangoli Rayanna Circle, Bailhongal, Karnataka 591102",15.8185547,74.8598233,591102,
Karnataka,Belgaum,BELGAUM,"2ND FLOOR, 201/B, SHRI DATTA ARCADE, KHANAPUR ROAD, TLAKWADI, BELGAUM, KARNATAKA-590006",15.8375524,74.507609,590006,
Karnataka,BELLARY,BELLARY,"Plot No 18, Cts No.12/2a/153, Office No. 3, 2nd Floor, S.L.V. Tower, Parvati Nagar Road (Main), Bellary-583101, Karnataka",15.1528744,76.9278361,583101,
Karnataka,CHAMRAJNAGAR,CHAMRAJNAGAR,"3RD FLOOR,K.H.NO.1173/B & 1122/B C-DIVISION BR HILLS ROAD, CHAMARAJANAGAR, KARNATAKA - 571313",26.743037,75.8196482,571313,
Karnataka,Chikkaballapur,CHIKKABALLAPUR,"1st floor, D.V, Narayana Swamy Complex, Vapsandra, Chikkaballapur, Karnataka - 562101",13.44294,77.73396,562101,
Karnataka,CHIKKODI,CHIKKODI,"1st Floor, Anant Empire, N M road, Chikkodi, Distt. Belagavi,, Chikkodi, Karnataka 591201",16.4250164,74.581943,591201,
Karnataka,CHITRADURGA,CHITRADURGA,"1st Floor, Jalgaluru Mahalingappa Tower, 4th Block, Davangere Road, Near K S R T C Bus Stand, Chitradurga, Chitradurga, Karnataka 577501",14.2279855,76.3930791,577501,
Karnataka,DAVANGERE,DAVANGERE,"Plot No 829/1a, 1st Floor, Front Office, P.P. Square, P. B. Road, Opp. Arun Theater, Davangere, Karnataka - 577002",14.4674654,75.9126374,577002,
Karnataka,Doddaballapura,DODDABALLAPUR,"FIRST Floor, Tank Rd, adjacent to NIVEDITHA ENGLISH SCHOOL, Doddaballapura, Karnataka 561203",13.2855415,77.5437786,561203,
Karnataka,Gadag,GADAG,"FIRST FLOOR, SATYA COMPLEX, 3812/1/4, OPP. MGM HOSPITAL, NEW BUS STAND ROAD, GADAG, KARNATAKA-582101.",15.4220533,75.6360438,582101,
Karnataka,GANGAVATHI,GANGAVATHI,"1st Floor, Plot No. 3-4-103/3-4-62, Pinjor ONI, Ganesh Circle, Beside BOI Bank, Gangavathi, Karnataka 583227",15.4320724,76.5296622,583227,
